max_ppmm,mean_ppmm,sum_ppmm,num_plume_pixels,peak_intensity,density_category,peak_intensity_category,size_category,training_category,granule_id,gas_type,max_signal_to_uncertainty,mean_plume_sensitivity,plume_pixel_area,background_std_dev
1369.7694091796875,434.8663330078125,199603.640625,459,1286.704833984375,strong,dim,medium,medium,20220818T083506,ch4,3.6400981992778085,1.1647598423339702,459.0,361.49588065163226
6204.94775390625,1294.8643798828125,3064944.0,2367,5405.435546875,strong,bright,large,easy,20230217T063221,ch4,9.610517451048324,0.9780797729977687,2367.0,573.4269784108151
1568.9385986328125,430.2815246582031,58948.5703125,137,1451.2745361328125,strong,medium,small,hard,20220816T114505,ch4,5.3754942777851085,1.0562097995820707,137.0,236.19889604007184
1223.303466796875,402.8795166015625,26992.927734375,67,1223.303466796875,strong,dim,small,hard,20220831T060738,ch4,3.335702861441522,0.8872507552602398,67.0,224.66214365536976
1448.9449462890625,363.05206298828125,66075.4765625,182,1039.1168212890625,strong,dim,small,hard,20230330T125250,ch4,7.1230264720816425,0.970695117017725,182.0,155.76001106982085
2681.224853515625,683.3892822265625,489306.71875,716,2031.5133056640625,strong,bright,large,easy,20230222T085106,ch4,5.480054472224387,1.4991768184924426,716.0,622.5316215442892
4143.28076171875,493.8909606933594,661813.875,1340,2155.858642578125,strong,bright,large,easy,20230611T061638,ch4,9.95620362375036,1.0119057788332897,1340.0,270.82712291963253
1939.4561767578125,542.689697265625,256692.234375,473,1505.1778564453125,strong,medium,medium,easy,20220816T034409,ch4,3.3118881547446453,0.7994531802596804,473.0,394.09316282255736
1213.0958251953125,360.5877380371094,31731.720703125,88,1170.19189453125,strong,dim,small,hard,20230603T080204,ch4,5.419195271657607,1.0243055319244212,88.0,196.9727417166943
1290.3394775390625,474.494384765625,50296.40625,106,1288.020263671875,strong,dim,small,hard,20230404T085844,ch4,4.143806553436309,1.0377102499862887,106.0,233.74052287851094
8474.3359375,718.1984252929688,2161059.0,3009,4012.91259765625,strong,bright,huge,huge_plume,20230620T084426,ch4,11.670417065289548,0.9562791445180798,3009.0,470.3980301991281
5393.07958984375,310.9254455566406,6697334.0,21540,1273.872314453125,strong,dim,huge,huge_plume,20230620T084426,ch4,10.639629839079605,0.9043603547048878,21540.0,301.56531502759117
7979.38232421875,661.86328125,11278150.0,17040,1967.8082275390625,strong,bright,huge,huge_plume,20230620T084426,ch4,12.99581088418937,0.9780604966649427,17040.0,368.75097528999083
2250.92626953125,378.1894836425781,273431.0,723,1713.603515625,strong,medium,large,easy,20230620T084426,ch4,8.03124591532872,0.9339684175422742,723.0,328.39108920982574
2416.9853515625,311.00079345703125,152079.390625,489,1414.0545654296875,strong,medium,medium,easy,20220828T082847,ch4,9.955603839502801,0.8908999584203848,489.0,153.45448363485676
1167.6102294921875,155.20529174804688,355420.125,2290,599.539794921875,strong,very dim,large,hard,20220828T082847,ch4,5.782637123171576,1.0563576303454987,2290.0,150.2821100462799
910.3704223632812,279.1226806640625,33215.59765625,119,885.5755615234375,strong,very dim,small,hard,20220828T082847,ch4,4.18867519448838,0.9355128162047442,119.0,157.72267571481956
1075.7484130859375,211.0624542236328,80203.734375,380,853.2817993164062,strong,very dim,medium,hard,20220828T082847,ch4,5.8174559702649,1.0108411925403695,380.0,150.29242316963024
2195.0830078125,272.306640625,213760.71875,785,1659.61572265625,strong,medium,large,easy,20220828T082847,ch4,10.536825467047736,0.8892140772691958,785.0,153.4377987132751
13144.244140625,1147.6080322265625,2691140.75,2345,4579.73291015625,strong,bright,large,easy,20230221T045604,ch4,3.497303850766729,0.7537468912250705,2345.0,666.8096603163344
1146.653564453125,226.4298095703125,475955.46875,2102,651.4735717773438,strong,very dim,large,hard,20230613T044314,ch4,5.0250606106644815,0.9772583020232497,2102.0,180.7840709545587
3231.51025390625,299.0565185546875,92109.40625,308,1851.8055419921875,strong,bright,medium,easy,20230418T091216,ch4,12.867272825589668,0.8569825351625294,308.0,171.81841031782778
1807.5340576171875,418.1824035644531,1551456.75,3710,1190.3134765625,strong,dim,huge,huge_plume,20220831T060702,ch4,5.412034765369937,1.1396309703990135,3710.0,294.2613399611281
1309.8603515625,206.37176513671875,136411.734375,661,902.8107299804688,strong,very dim,large,hard,20220831T060702,ch4,5.617724372582906,0.9845981030709444,661.0,166.58638753236596
1876.53564453125,530.9160766601562,305276.75,575,1650.0306396484375,strong,medium,large,easy,20230608T053135,ch4,4.9941229688624205,1.3564949813096419,575.0,356.7463178591858
2297.79345703125,490.00921630859375,524799.875,1071,1830.31982421875,strong,medium,large,easy,20230608T053135,ch4,6.267387725261792,0.9423067182385955,1071.0,360.86993006145286
3631.41064453125,362.0975036621094,185031.828125,511,2447.668212890625,strong,bright,medium,easy,20230418T060602,ch4,10.553172016061488,0.9527805854662991,511.0,240.83964669569636
2474.38427734375,424.99566650390625,194223.015625,457,1765.1273193359375,strong,medium,medium,easy,20230619T110748,ch4,6.638920428794974,1.0096695627894914,457.0,268.21000370286816
1822.0919189453125,333.26806640625,46990.796875,141,1636.5135498046875,strong,medium,small,hard,20230418T091117,ch4,,,141.0,121.16888748591518
2512.922607421875,356.4276123046875,77701.21875,218,2086.035400390625,strong,bright,small,hard,20230418T091117,ch4,,,218.0,132.85827522249744
4147.681640625,286.7440185546875,2349007.0,8192,1355.529541015625,strong,dim,huge,huge_plume,20220901T082525,ch4,10.593552834173616,0.9226667980037746,8192.0,209.60586853822102
2182.8251953125,414.98486328125,254800.703125,614,1836.093505859375,strong,medium,large,easy,20230223T063057,ch4,6.843127918420697,1.0109030427684225,614.0,265.57333281363054
2070.05126953125,472.8581848144531,4138927.75,8753,1550.7462158203125,strong,medium,huge,huge_plume,20230223T063057,ch4,7.268035883190241,0.984588817325467,8753.0,197.9534143394272
6362.93408203125,958.1331176757812,91980.78125,96,6362.93408203125,strong,bright,small,hard,20230606T053448,ch4,16.359879230712917,1.315051765491565,96.0,299.8503856690044
929.954833984375,283.8421936035156,31790.32421875,112,821.670654296875,strong,very dim,small,hard,20230325T134123,ch4,4.847985587498135,0.959910189466817,112.0,136.83008949058524
900.6995239257812,288.64593505859375,27998.654296875,97,900.6995239257812,strong,very dim,small,hard,20230325T134123,ch4,4.245771054347549,0.8980435243586904,97.0,156.48801979679106
1687.3431396484375,379.17822265625,202860.34375,535,1362.47021484375,strong,dim,medium,medium,20230427T173630,ch4,4.706894995905261,1.1117986334261494,535.0,333.33579898813093
3146.426513671875,416.7142028808594,175019.96875,420,2322.91162109375,strong,bright,medium,easy,20220820T083324,ch4,10.647315469076524,0.9591886025099527,420.0,187.7366967803221
1576.612060546875,247.05862426757812,16721422.0,67682,1033.7117919921875,strong,dim,huge,huge_plume,20220820T083324,ch4,6.380432518290739,0.981821131411746,67682.0,149.99063642396496
9605.6630859375,923.9757690429688,667110.5,722,4421.2392578125,strong,bright,large,easy,20230417T095836,ch4,10.295938374754703,1.1519414321042163,722.0,338.78534794374593
2852.670654296875,613.0009765625,266655.4375,435,2558.811767578125,strong,bright,medium,easy,20230417T095836,ch4,6.822300167798129,1.0898332210792891,435.0,344.4796235696446
6785.2001953125,859.38037109375,820708.25,955,5429.5126953125,strong,bright,large,easy,20230417T095836,ch4,6.162520304135219,0.5286522485510841,955.0,433.64076801895965
4228.06640625,481.591064453125,8583879.0,17824,1857.33544921875,strong,bright,huge,huge_plume,20230417T095836,ch4,9.485205153684857,1.0832938588570462,17824.0,372.025124524591
3581.64111328125,483.32476806640625,492024.625,1018,2489.899658203125,strong,bright,large,easy,20230417T095836,ch4,7.311039385650311,1.0659432289408326,1018.0,367.3784032035508
2307.80810546875,567.361328125,1384361.625,2440,1665.8126220703125,strong,medium,large,easy,20230417T095836,ch4,4.444885301634249,0.8960102766507961,2440.0,425.8740267520617
1444.06689453125,285.49249267578125,302907.53125,1061,1030.870361328125,strong,dim,large,medium,20220820T100727,ch4,,,211.0,318.62955392454484
1673.033447265625,354.21136474609375,452682.125,1278,1270.1004638671875,strong,dim,large,medium,20220828T065324,ch4,4.709566633131605,1.0141556416878679,1278.0,295.6841459907624
2003.84765625,318.1903381347656,158458.78125,498,1764.6248779296875,strong,medium,medium,easy,20220817T092038,ch4,6.85557210056386,1.0212281345124226,498.0,239.34554462207277
1638.7537841796875,297.0731506347656,196959.5,663,903.1428833007812,strong,very dim,large,hard,20230425T081923,ch4,5.042172089513237,1.0647772643877111,663.0,239.08826684998903
1939.5118408203125,401.5476989746094,29312.982421875,73,1939.5118408203125,strong,bright,small,hard,20230326T142844,ch4,7.857536027607365,1.0192220504969767,73.0,176.01084287579582
3045.2392578125,329.96405029296875,201278.0625,610,1897.4554443359375,strong,bright,large,easy,20230326T142844,ch4,11.903557071974802,0.9461588417897459,610.0,177.66989156015066
1444.129638671875,329.44183349609375,29649.763671875,90,1444.129638671875,strong,medium,small,hard,20230326T142844,ch4,5.957563168721145,0.8709660755263434,90.0,177.11475155203044
4583.25830078125,1015.96728515625,213353.125,210,4098.5927734375,strong,bright,small,hard,20230325T151728,ch4,6.5687195300955965,1.0385264075937726,210.0,629.4048087140545
